brand,model,price,depre,age,mileage,eng_cap,power,owners,reg_date,maturity_date,years_left,COE_extended
BMW,3 Series 330i,180800,23600.0,3.7,41400.0,1998.0,190.0,1,2019-04-30,2029-04-29,6.3,False
BMW,5 Series 520i Mild Hybrid M Sport,269800,23360.0,0.1,,1998.0,137.2,1,2022-12-20,2032-12-19,9.9,False
BMW,5 Series 520i Luxury,57800,21570.0,8.5,,1997.0,135.0,2,2014-06-30,2024-06-29,1.5,False
Lexus,ES Hybrid ES300h Luxury Sunroof,135800,19840.0,4.6,113000.0,2494.0,151.0,1,2018-06-18,2028-06-17,5.4,False
BMW,6 Series 630i Gran Turismo M-Sport,219800,23670.0,3.1,55753.0,1998.0,190.0,1,2019-12-12,2029-12-11,6.9,False
Mercedes-Benz,E-Class E200 ,33800,9980.0,26.3,86232.0,1998.0,,,1996-09-25,2026-05-01,3.3,True
Mercedes-Benz,A-Class Saloon A180 Progressive,165800,15920.0,0.8,11038.0,1332.0,96.0,1,2022-03-24,2032-03-23,9.2,False
Volkswagen,Passat 1.8A TFSI,95800,14840.0,4.7,74624.0,1798.0,132.0,1,2018-04-24,2028-04-23,5.3,False
Audi,A3 Sedan 1.0A TFSI S-tronic,75988,15940.0,5.8,68000.0,999.0,85.0,1,2017-03-31,2027-03-31,4.2,False
Mercedes-Benz,E-Class E200 Avantgarde,208988,22160.0,2.1,44000.0,1991.0,145.0,1,2020-11-24,2030-11-24,7.9,False
Audi,A4 2.0A TFSI ,32998,18280.0,13.1,122809.0,1984.0,155.0,6,2009-11-30,2024-10-01,1.7,True
BMW,7 Series 740i M-Sport,418800,35910.0,0.7,2998.0,2998.0,245.0,1,2022-04-30,2032-04-29,9.3,False
Mercedes-Benz,E-Class E250 CGI Avantgarde ,91800,12860.0,12.4,119218.0,1796.0,150.0,2,2010-08-13,2030-02-01,7.1,True
Audi,A5 Sportback 2.0A TFSI ,98800,13220.0,12.1,146800.0,1984.0,132.0,More than 6,2010-12-10,2030-06-01,7.4,True
BMW,7 Series 740Li Sunroof,328800,36270.0,3.0,34550.0,2998.0,250.0,1,2020-01-13,2030-01-12,7.0,False
Audi,A3 Sedan Mild Hybrid 1.5A TFSI S-tronic,142800,16180.0,1.6,16000.0,1498.0,110.0,1,2021-05-20,2031-05-20,8.4,False
